Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,016255101,ALGN ,"981,302","583,864,876.98",0.367,Align Technology Inc,Common Stock,Health Care,02/18/2021
QQQ,49271V100,KDP ,"17,512,734","555,854,177.16",0.349,Keurig Dr Pepper Inc,Common Stock,Consumer Staples,02/18/2021
QQQ,N07059210,ASML ,"942,609","549,050,890.32",0.345,ASML Holding NV,American Depository Receipt - NY,Information Technology,02/18/2021
QQQ,278642103,EBAY ,"8,578,490","538,729,172.00",0.338,eBay Inc,Common Stock,Consumer Discretionary,02/18/2021
QQQ,57667L107,MTCH ,"3,310,077","537,026,892.48",0.337,Match Group Inc,Common Stock,Communication Services,02/18/2021
QQQ,571903202,MAR ,"4,036,165","532,693,056.70",0.335,Marriott International Inc/MD,Common Stock,Consumer Discretionary,02/18/2021
QQQ,778296103,ROST ,"4,430,348","532,572,133.08",0.334,Ross Stores Inc,Common Stock,Consumer Discretionary,02/18/2021
QQQ,285512109,EA ,"3,607,138","531,728,212.58",0.334,Electronic Arts Inc,Common Stock,Communication Services,02/18/2021
QQQ,09062X103,BIIB ,"1,914,957","528,336,636.30",0.332,Biogen Inc,Common Stock,Health Care,02/18/2021
QQQ,931427108,WBA ,"10,775,932","527,158,593.44",0.331,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,02/18/2021
QQQ,550021109,LULU ,"1,554,603","523,636,928.49",0.329,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,02/18/2021
QQQ,30161N101,EXC ,"12,140,613","518,404,175.10",0.326,Exelon Corp,Common Stock,Utilities,02/18/2021
QQQ,871607107,SNPS ,"1,888,607","511,718,066.65",0.321,Synopsys Inc,Common Stock,Information Technology,02/18/2021
QQQ,595017104,MCHP ,"3,240,264","507,230,926.56",0.319,Microchip Technology Inc,Common Stock,Information Technology,02/18/2021
QQQ,64110W102,NTES ,"4,073,793","506,453,945.76",0.318,NetEase Inc ADR,American Depository Receipt,Communication Services,02/18/2021
QQQ,192446102,CTSH ,"6,653,371","497,805,218.22",0.313,Cognizant Technology Solutions Corp,Common Stock,Information Technology,02/18/2021
QQQ,025537101,AEP ,"6,177,392","497,156,508.16",0.312,American Electric Power Co Inc,Common Stock,Utilities,02/18/2021
QQQ,252131107,DXCM ,"1,194,977","490,944,350.68",0.308,DexCom Inc,Common Stock,Health Care,02/18/2021
QQQ,127387108,CDNS ,"3,471,182","484,334,024.46",0.304,Cadence Design Systems Inc,Common Stock,Information Technology,02/18/2021
QQQ,172908105,CTAS ,"1,301,993","443,263,516.85",0.278,Cintas Corp,Common Stock,Industrials,02/18/2021
QQQ,70614W100,PTON ,"3,179,721","440,232,372.45",0.276,Peloton Interactive Inc,Common Stock,Consumer Discretionary,02/18/2021
QQQ,015351109,ALXN ,"2,723,444","429,160,305.52",0.270,Alexion Pharmaceuticals Inc,Common Stock,Health Care,02/18/2021
QQQ,679295105,OKTA ,"1,492,819","424,916,000.16",0.267,Okta Inc,Common Stock,Information Technology,02/18/2021
QQQ,G06242104,TEAM ,"1,644,640","422,228,427.20",0.265,Atlassian Corp PLC,Common Stock,Information Technology,02/18/2021
QQQ,G5876H105,MRVL ,"8,339,828","420,911,119.16",0.264,Marvell Technology Group Ltd,Common Stock,Information Technology,02/18/2021
